id,p1_t1,p1_t2,p1_t3,p1_t4,p1_t5,p1_t6,p2_t1,p2_t2,p2_t3,p2_t4,p2_t5,p2_t6,winner
gen9ou-2627345816,Tyranitar,Hydrapple,Enamorus,Garganacl,Excadrill,Alomomola,Darkrai,Deoxys-Speed,Gholdengo,Great Tusk,Ogerpon-Wellspring,Dragonite,p2
gen9ou-2627347824,Hatterene,Iron Treads,Ceruledge,Ting-Lu,Dragonite,Kyurem,Keldeo-Resolute,Ogerpon,Hatterene,Cresselia,Ursaluna,Kingambit,p1
gen9ou-2627349943,Hatterene,Iron Treads,Ceruledge,Ting-Lu,Dragonite,Kyurem,Alomomola,Darkrai,Latios,Great Tusk,Pecharunt,Zamazenta-*,p2
gen9ou-2627351348,Hydrapple,Tyranitar,Moltres,Zamazenta-*,Slowking-Galar,Excadrill,Pawmot,Ting-Lu,Skeledirge,Greninja-*,Weezing-Galar,Slowking,p2
gen9ou-2627352890,Alomomola,Darkrai,Latios,Great Tusk,Pecharunt,Zamazenta-*,Hatterene,Arcanine-Hisui,Slowking-Galar,Zamazenta-*,Darkrai,Ogerpon-Wellspring,p1
gen9ou-2627353406,Darkrai,Slowking-Galar,Gholdengo,Iron Treads,Raging Bolt,Gliscor,Torkoal,Corviknight,Walking Wake,Dragonite,Great Tusk,Raging Bolt,p2
gen9ou-2627355558,Rillaboom,Ogerpon-Wellspring,Tauros-Paldea-Blaze,Muk-Alola,Raging Bolt,Iron Treads,Zamazenta-*,Iron Hands,Ceruledge,Iron Valiant,Deoxys-Speed,Iron Treads,p1
gen9ou-2627360084,Scizor,Landorus-Therian,Cinderace,Raging Bolt,Darkrai,Meloetta,Kyurem,Rillaboom,Garganacl,Tornadus-Therian,Hatterene,Iron Treads,p1
gen9ou-2627366317,Gholdengo,Great Tusk,Samurott-Hisui,Slowking-Galar,Rillaboom,Ogerpon-Wellspring,Darkrai,Landorus-Therian,Raging Bolt,Tyranitar,Ogerpon,Corviknight,p2
gen9ou-2627367636,Primarina,Dragonite,Ting-Lu,Pecharunt,Zamazenta-*,Corviknight,Ogerpon-Wellspring,Great Tusk,Dondozo,Tornadus-Therian,Hatterene,Heatran,p2
